mic_id,year,stdate,durration,events,involved,fatalmin,fatalmax,fatalmin_pc,fatalmax_pc,full_on_war,mean_democracy,min_democracy,mean_mil_power,min_mil_power,maxdiff_mil_power,mean_pop,total_pop,rivals_rate,major_powers_involved,total_trade,total_trade_pc,mean_dist,min_dist,total_alliances,mean_alliances,min_alliances,total_igos,mean_igos,min_igos
1736,1924,1924-06-01,181,1,2,0,0,0,0,0,-0.10986756550741497,-0.21387872605119304,0.0209798343,5.349748305020188e-7,0.0349365190251695,25953500,51907000,1,1,40000000,0.7706089737414992,1723.7380018680296,1723.7380018680296,0,0,0,11,11,11
2131,1924,1924-10-01,1,2,2,0,0,0,0,0,0.14128448119883455,0.02083496774338462,4.34803385e-4,2.7692987012987015e-7,6.560938401298701e-4,1505000,3010000,1,0,0,0,1047.9661463697032,1047.9661463697032,0,0,0,10,10,10
1241,1925,1925-10-16,9,6,2,30,60,2.6626431170675426e-6,5.325286234135085e-6,0,-0.08838323927692773,-0.19975664742365934,0.00324230475,3.5322248587570623e-7,0.004608644877514124,5633500,11267000,1,0,5000000,0.4437738528445904,525.8796102790269,525.8796102790269,0,0,0,21,21,21
1781,1925,1925-12-18,73,2,2,2,50,1.3577179476735503e-8,3.394294869183876e-7,0,-0.4075247698343964,-0.459875934445226,0.05260901795,5.264342605054584e-7,0.1016972435657395,73653000,147306000,0,1,0,0,3370.545482497966,3370.545482497966,0,0,0,0,0,0
3185,1925,1925-09-02,1,1,2,0,0,0,0,0,0.4772627712555466,-0.2565123872880523,0.05126475935,5.233545851857434e-7,0.09558355664541482,29165000,58330000,0,1,31000000,0.5314589405108864,2837.0216398672096,2837.0216398672096,0,0,0,10,10,10
151,1926,1926-05-02,145,4,2,0,0,0,0,0,0.5674041398047606,-0.06683084945057029,0.131719132445,2.5551630239520957e-7,0.2632673244836976,59032500,118065000,0,1,14000000,0.11857874899419811,1827.273453452509,1827.273453452509,0,0,0,11,11,11
1670,1926,1926-04-01,1,2,2,0,0,0,0,0,0.17062124330906764,-0.5839883069922412,0.046252964,8.15886340598074e-7,0.060310237113659404,40165000,80330000,1,2,159000000,1.9793352421262294,1106.6002895900867,1106.6002895900867,0,0,0,38,38,38
1671,1926,1926-11-01,1,2,2,0,0,0,0,0,0.17062124330906764,-0.5839883069922412,0.046252964,8.15886340598074e-7,0.060310237113659404,40165000,80330000,1,2,159000000,1.9793352421262294,1106.6002895900867,1106.6002895900867,0,0,0,38,38,38
2208,1926,1926-03-12,4,7,9,1,1,2.6233609240946256e-10,2.6233609240946256e-10,0,0.1455137741933663,-0.5839883069922412,0.12888365942857144,3.441014387665535e-7,0.2632672358985612,272278857.14285713,3811904000,0.2857142857142857,7,615000000,0.16133669683181948,7432.403397536304,2102.144386564865,0,0,0,86,12.285714285714286,6
3260,1926,1926-01-20,1,1,2,0,0,0,0,0,-0.33377155631076194,-0.459875934445226,0.13866623,3.441014387665535e-7,0.16229647589856125,307707000,615414000,1,1,25000000,0.04062306024887312,5799.33495771668,5799.33495771668,0,0,0,6,6,6
3362,1926,1926-03-20,1,2,2,0,0,0,0,0,-0.18294219015987823,-0.5839883069922412,0.019742785649999997,5.613841764841764e-7,0.03219431361582351,26223500,52447000,1,1,57000000,1.0868114477472497,720.7591255377281,720.7591255377281,0,0,0,29,29,29
145,1927,1927-01-05,76,14,7,42,42,1.3550721317801195e-8,1.3550721317801195e-8,0,0.09424539317931586,-0.6225129662461429,0.10337169120833334,2.8058273087934216e-7,0.2386263294172691,258288833.33333334,3099466000,0,4,422000000,0.13615248562171678,9278.277778441912,8134.631740078387,0,0,0,82,13.666666666666666,10
1025,1927,1927-08-01,1,3,2,0,0,0,0,0,0.14128448119883455,0.02083496774338462,5.652828449999999e-4,4.2145260975609755e-7,7.845530973902439e-4,1570000,3140000,1,0,0,0,1047.9661463697032,1047.9661463697032,0,0,0,13,13,13
1169,1927,1927-10-01,137,5,2,0,0,0,0,0,0.38872915747261366,0.3742437163047941,3.9743453500000003e-4,2.1766908988764044e-7,6.009259109101124e-4,1245000,2490000,1,0,0,0,361.9555553274218,361.9555553274218,0,0,0,16,16,16
1674,1927,1927-03-09,53,3,2,0,0,0,0,0,-0.4066055347016652,-0.6055438912270326,0.12544704,2.8058273087934216e-7,0.13211265941726913,308993500,617987000,1,1,26000000,0.042072082422445777,5799.33495771668,5799.33495771668,0,0,0,6,6,6
2132,1927,1927-02-26,1,3,2,1,1,3.184713375796178e-7,3.184713375796178e-7,0,0.14128448119883455,0.02083496774338462,5.652828449999999e-4,4.2145260975609755e-7,7.845530973902439e-4,1570000,3140000,1,0,0,0,1047.9661463697032,1047.9661463697032,0,0,0,13,13,13
40,1928,1928-05-03,9,6,2,91,305,1.6933950150916852e-7,5.675664611021583e-7,0,-0.004921283080576516,-0.21779184708642704,0.083236211,6.342097931144661e-7,0.12677342579020687,268691000,537382000,1,1,314000000,0.5843143238887794,2102.144386564865,2102.144386564865,0,0,0,14,14,14
1026,1928,1928-12-01,12,5,2,4,40,1.2578616352201258e-6,1.2578616352201259e-5,0,0.14128448119883455,0.02083496774338462,5.47168165e-4,3.998637619047619e-7,7.580509062380952e-4,1590000,3180000,1,0,0,0,1047.9661463697032,1047.9661463697032,0,0,0,15,15,15
3187,1928,1928-07-27,1,1,2,1,1,8.47457627118644e-8,8.47457627118644e-8,0,0.4298178008646977,0.022990168869803873,0.0029858712000000003,3.138074955277281e-7,0.004217244692504472,5900000,11800000,1,0,4000000,0.3389830508474576,525.8796102790269,525.8796102790269,0,0,0,21,21,21
41,1929,1929-06-13,193,42,2,4092,7007,6.478743009860609e-6,1.1093976605594644e-5,1,-0.4116678691567298,-0.6055438912270326,0.130189345,2.6445757366915186e-7,0.13374820554242633,315802000,631604000,1,1,25000000,0.03958176325672415,5799.33495771668,5799.33495771668,0,0,0,6,6,6
1170,1929,1929-03-31,2,7,4,0,0,0,0,0,0.6439355540068679,0.19086031824205138,0.060089121154999994,2.0459780208333334e-7,0.2397932454021979,31091750,124367000,0.5,1,32000000,0.25730298230237925,944.0347194256835,240.32189110220574,0,0,0,32,16,14
2316,1929,1929-01-25,1,1,2,4,4,1.1850447354387628e-7,1.1850447354387628e-7,0,0.023044098686350684,0.02083496774338462,0.005445749535,3.9601636046511627e-7,0.010550528983639534,16877000,33754000,0,0,0,0,1488.5967046901405,1488.5967046901405,0,0,0,15,15,15
2133,1930,1930-01-01,26,5,2,2,2,6.097560975609756e-7,6.097560975609756e-7,0,0.12312036827686951,0.02083496774338462,5.289291e-4,3.7705186363636366e-7,7.256755081363636e-4,1640000,3280000,1,0,0,0,1047.9661463697032,1047.9661463697032,0,0,0,15,15,15
129,1931,1931-09-18,622,11,2,36296,43920,6.569459326402363e-5,7.949378819032175e-5,1,-0.004921283080576516,-0.21779184708642704,0.0832899125,6.285391172831019e-7,0.1254369114608827,276248000,552496000,1,1,166000000,0.3004546639251687,2102.144386564865,2102.144386564865,0,0,0,13,13,13
1027,1931,1931-06-19,1447,40,2,25391,65360,0.007624924924924925,0.01962762762762763,1,0.15369199113472726,0.02083496774338462,5.20259895e-4,3.7259913333333337e-7,7.048079708666667e-4,1665000,3330000,1,0,0,0,1047.9661463697032,1047.9661463697032,0,0,0,15,15,15
3186,1931,1931-02-04,1,1,2,1,1,8.148631029986963e-8,8.148631029986963e-8,0,0.44797607673579004,0.05930672061198862,0.0028337002,2.9797333907056796e-7,0.003935877326660929,6136000,12272000,1,0,1000000,0.08148631029986962,525.8796102790269,525.8796102790269,0,0,0,22,22,22
178,1932,1932-04-01,1083,13,2,0,0,0,0,0,-0.207075429638871,-0.6055438912270326,0.1006996715,7.359066592407503e-7,0.15250938409334075,112264000,224528000,1,2,9000000,0.04008408750801682,7491.160520296217,7491.160520296217,0,0,0,11,11,11
248,1932,1932-01-30,1,2,3,0,0,0,0,0,0.78229151394926,0.19139303194929055,0.09440780325,7.359066592407503e-7,0.19717622409334076,76038000,304152000,1,4,320000000,1.0521055261842762,10647.109787568177,9572.566899034391,0,0,0,40,20,16
1139,1932,1932-09-01,196,12,2,42,120,3.0950626381724394e-6,8.843036109064111e-6,0,0.33990970191203823,0.08998532950462292,0.00162404105,2.548927226027397e-7,0.0017592537072773971,6785000,13570000,1,0,0,0,1889.2413318222098,1889.2413318222098,0,0,0,19,19,19
1151,1932,1932-10-10,35,3,2,2,50,2.534854245880862e-7,6.337135614702154e-6,0,0.14272353787412206,0.08998532950462292,0.001064668,2.548927226027397e-7,0.0014883186072773972,3945000,7890000,1,0,0,0,1328.2833025229802,1328.2833025229802,0,0,0,17,17,17
1733,1932,1932-01-23,3,2,3,0,0,0,0,0,0.2744998190784168,-0.7552635755805042,0.051582072265,1.763008707482993e-7,0.19717678369912928,34599750,138399000,0,1,3000000,0.02167645719983526,2762.2039981036473,1770.7389535626278,0,0,0,22,11,7
2050,1932,1932-12-02,1,3,2,0,0,0,0,0,-0.07633649900619488,-0.2426583275170127,0.00646390375,3.272372915295935e-7,0.01143890676270847,20398500,40797000,0,0,2000000,0.04902321249111454,3777.933442028062,3777.933442028062,0,0,0,22,22,22
1129,1933,1933-11-14,180,7,6,1875,2325,1.3163252411507842e-5,1.6322432990269724e-5,1,-0.8159194422431667,-1.6427702921290217,0.02200340147875,2.3755569902048084e-7,0.08042762544430099,17805250,142442000,0,3,0,0,3598.756588013986,1066.3403865657,0,0,0,4,1,1
1677,1933,1933-08-01,1,1,2,0,0,0,0,0,0.817060112323605,0.3867360440463908,0.10347876595,4.58891893939394e-7,0.20513986110810606,64825000,129650000,0,1,81000000,0.6247589664481296,544.703066487567,544.703066487567,0,0,0,18,18,18
111,1934,1934-11-23,530,29,4,18883,27080,1.3047413733537858e-4,1.871121982228487e-4,1,-0.0792766871636536,-0.789551467266806,0.041295761325,3.739378466053912e-7,0.07402715706215339,36181500,144726000,1,3,82000000,0.5665878971297487,2955.2417434716244,1435.530769275074,0,0,0,36,18,5
