pre_agg,post_agg,change_agg,treatment,cutpoint_margin,use,military_spending,total_pop,urban_pop,us_ally,entrance_year,imports,exports,ongoing_civwar,soccer_popular,infant_mortality,life_expectancy,democracy
0,1,1,0,0,1,11886891000,56190000,34921000,1,1816,63196500000,55864600000,0,1,17,72.15,1
0,0,0,0,0,1,265172000,3440000,661000,0,1922,10600500000,7682790000,0,0,15,71.93,1
0,0,0,0,0,1,30500000000,1012409000,143320000,0,1860,21630500000,21476200000,0,1,42,66.28,0
1,0,-1,0,0,1,2682000000,5189000,1222000,1,1816,29508300000,35918200000,0,1,8,74.71,1
0,0,0,0,0,1,126000000,13175000,3135000,0,1960,2087990000,2663000000,0,1,93,52.94,0
0,0,0,0,0,1,41730000000,124829000,74091000,1,1860,242000000000,363000000000,0,0,5,78.51,1
1,0,-1,0,0,1,1276000000,24371000,11882000,1,1839,9011370000,6706680000,0,1,48,66.72,0
1,1,0,0,0,1,1315000000,29170000,13246000,0,1847,11471100000,7232760000,0,1,51,67.66,0
0,0,0,0,0,1,854000000,133767000,27176000,0,1960,24482700000,43478000000,0,1,107,47.75,0
0,0,0,0,0,1,4337000000,75067000,22512000,0,1855,44933600000,23098700000,0,1,33,70.48,0
0,1,1,0,-1,0,24540000,14369000,577000,0,1878,50750000,59470000,0,1,NA,NA,0
0,0,0,0,-1,0,18123000,2981000,515000,0,1922,479900000,219600000,0,0,NA,NA,1
0,0,0,0,-1,1,377883000,17829000,2452000,0,1878,492000000,411000000,0,1,101,61.05,0
0,0,0,0,-1,1,33381000,2437000,916000,1,1882,224000000,128100000,0,1,57,66.04,1
0,0,0,0,-1,1,425400000,8773000,1514000,1,1828,1594130000,553850000,0,1,50,69.51,0
1,0,-1,0,-1,1,2310001000,32555000,7091000,0,1918,3209800000,3141500000,0,1,50,68.29,0
0,0,0,0,-1,1,15825000,4115000,790000,1,1848,165010000,198190000,0,1,164,43.43,0
0,0,0,0,-1,1,297676000,53723000,5750000,0,1960,695600000,890700000,1,1,164,39.44,0
0,0,0,0,-1,1,2316300000,20828000,3914000,0,1878,3820300000,3696910000,0,1,52,66.8,0
1,0,-1,0,-1,1,8612065000,56223000,21322000,1,1816,39370900000,31026600000,0,1,19,71.68,1
0,0,0,0,-1,1,5459300000,16765000,4217000,0,1954,14251710000,11955710000,0,1,17,71.2,0
0,0,0,0,-1,1,2280000000,8804000,2118000,0,1908,3673750000,3649690000,0,1,26,71.1,0
3,3,0,0,-1,1,4715062000,37406000,11854000,0,1855,4815350000,1708350000,0,1,138,51.75,0
0,0,0,0,-1,1,4053839000,22353000,5673000,0,1878,12075900000,11180100000,0,1,31,69.46,0
0,0,0,0,-1,1,777120000,69192000,27595000,1,1831,24127700000,19380600000,0,1,57,65.34,0
0,0,0,0,-1,1,3470000000,8350000,2111000,0,1816,26365400000,27690900000,0,1,7,76.38,1
0,0,0,0,-1,1,7981000000,16644000,4445000,0,1954,13749700000,15230800000,0,1,11,72.1,0
0,0,0,0,-1,1,1920000000,5133000,1189000,1,1816,26297200000,27749800000,0,1,8,74.41,1
0,0,0,0,-1,1,NA,456000,316000,0,1971,1330080000,2502510000,0,1,28,71.93,0
1,0,-1,0,-1,1,2192000000,9881000,1196000,1,1816,24320100000,15388100000,0,1,14,73.84,1
5,1,-4,0,-1,1,37200000000,57654000,10053000,1,1816,203000000000,217000000000,0,1,8,76.14,1
0,0,0,0,-1,1,223000000,3149000,1337000,1,1882,2335410000,1678490000,0,1,23,72.07,1
0,0,0,0,-1,1,54000000,7723000,2555000,0,1964,701630000,891380000,0,1,103,49.77,1
2,1,-1,0,-1,1,51000000,7614000,819000,0,1958,580790000,640060000,0,1,131,44.8,0
1,1,0,0,-1,1,24000000,3155000,681000,1,1920,4404510000,968250000,0,1,155,43.41,0
1,0,-1,0,-1,1,222000000,17823000,3169000,0,1960,2534720000,3624930000,0,1,97,49.53,0
0,0,0,0,-1,1,2054000000,30172000,16940000,0,1847,20336200000,10643000000,0,1,41,69.61,0
0,0,0,0,-1,1,502000000,10128000,1629000,0,1825,19162200000,13969400000,0,1,23,73.02,0
0,0,0,0,-2,0,5435000,5960000,268000,0,1908,28570000,28570000,0,1,NA,NA,0
0,0,0,0,-2,0,227000,302000,0,0,1920,46450000,43770000,0,1,NA,NA,1
0,2,2,0,-2,0,5825000,1135000,145000,0,1918,30230000,28850000,0,0,NA,NA,0
0,0,0,0,-2,0,NA,5399000,1337000,1,1902,493790000,575900000,0,0,NA,NA,0
0,0,0,0,-2,1,22556000,2885000,559000,0,1922,513300000,365100000,0,0,41,66.68,1
0,1,1,0,-2,1,365511000,8989000,866000,1,1830,3263191000,3016104000,0,1,42,68.37,1
1,0,-1,0,-2,1,125817000,7651000,890000,0,1908,298000000,433000000,0,1,92,61.95,0
0,0,0,0,-2,1,481723000,11021000,3681000,1,1816,4076200000,3038100000,0,1,23,71.93,1
0,0,0,0,-2,1,2003000,3464000,339000,1,1848,92200000,97700000,0,1,176,40.42,0
0,0,0,0,-2,1,902486000,7734000,1502000,0,1816,4362900000,3962200000,0,1,16,73.44,1
1,0,-1,0,-2,1,1184626000,14159000,2048000,0,1918,2672000000,2688690000,0,1,23,70.3,0
2,1,-1,0,-2,1,2247866000,17076000,3752000,0,1954,4104600000,4153200000,0,1,21,71.3,0
0,0,0,0,-2,1,5761015000,50315000,9424000,1,1816,17494200000,15297100000,0,1,25,70.75,1
0,0,0,0,-2,1,558400000,20210000,2428000,0,1878,2107510000,1472440000,0,1,80,64.5,0
0,0,0,0,-2,1,16944000,2531000,401000,1,1846,115260000,126930000,0,1,59,65,0
0,0,0,0,-2,1,3726000,997000,0,1,1962,788390000,694530000,0,0,46,64.98,1
0,0,0,0,-2,1,576899000,9455000,1168000,1,1816,4981280000,2029440000,0,1,47,68.17,1
0,1,1,0,-2,1,1114680000,4043000,808000,1,1905,12873300000,8865980000,0,1,11,74.36,1
0,0,0,0,-2,1,3397200000,21658000,5034000,0,1878,7719540000,7020840000,0,1,40,69.21,0
0,0,0,0,-2,1,3461788000,8891000,2282000,0,1908,3386880000,2003270000,0,1,22,71.12,0
