mic_id,micname,year,stdate,enddate,days_duration,militarized_events,total_involved,fatalmin1,fatalmin2,fatalmax1,fatalmax2,fatalmin_ratio,fatalmax_ratio,mean_polity21,mean_v2x_polyarchy1,mean_xm_qudsest1,mean_polity22,mean_v2x_polyarchy2,mean_xm_qudsest2,polity2_ratio,v2x_polyarchy_ratio,xm_qudsest_ratio
2604,The Latvian War of Liberation of 1918–1920,1918,1918-12-01,1920-02-01,428,32,9,1135,1050,2255,2150,1.0809523809523809,1.0488372093023255,8.3125,5.861080786026201,5.8611230080869845,6.925,3.697052401746725,4.64757276234966,1.2003610108303249,1.5853388454156208,1.261114845918796
2605,The Estonian War of Liberation of 1918–1920,1918,1918-11-22,1919-12-30,404,24,5,6273,4204,9141,5409,1.4921503330161752,1.689961175818081,6.3999999999999995,3.2270742358078603,5.027284476065735,7.525,4.14410480349345,5.147357528561934,0.8504983388704318,0.7787144362486828,0.9766728749984956
3134,The Franco-Turkish War of 1919–1921,1918,1918-11-01,1921-10-01,1066,13,2,1400,2401,2300,3420,0.5830903790087464,0.672514619883041,9.1,6.099344978165939,5.80684085830607,NA,1.6484716157205241,2.706067881749757,NA,3.6999999999999997,2.1458592733273703
1219,The Russo-Polish War of 1919–1920,1919,1919-01-01,1920-09-28,637,26,3,10703,23783,14660,32920,0.450027330446117,0.44532199270959905,9.1,6.207423580786026,6.013117259910825,5.05,1.972707423580786,4.521186428238105,1.801980198019802,3.1466519092418372,1.329986576610627
1265,The Hungarian Adversaries War of 1919,1919,1919-03-20,1919-08-18,152,21,6,4600,4600,6100,6100,1,1,5.8374999999999995,5.038209606986899,4.693842673728293,4.262499999999999,3.1615720524017465,4.128910712673472,1.36950146627566,1.5935773480662982,1.136823486960082
1270,The Second Greco-Turkish War of 1919–1922,1919,1919-05-04,1922-09-11,1227,20,2,22602,13645,28272,16575,1.6564309270795163,1.7057013574660633,NA,4.556768558951965,4.799358241889718,NA,1.953056768558952,3.077499190347927,NA,2.333147009502515,1.5594994328323855
1272,The Lithuanian-Polish War of 1920,1919,1919-04-26,1920-11-29,584,37,3,220,390,350,540,0.5641025641025641,0.6481481481481481,8.875,4.581331877729257,6.113222482645156,7.3,3.947598253275109,5.050750362041708,1.2157534246575343,1.1605365044247786,1.21035926237581
41,The Manchurian War of 1929,1929,1929-06-13,1929-12-22,193,42,2,1030,3062,2005,5002,0.3363814500326584,0.40083966413434624,1.9,1.943231441048035,3.155220515685203,3.25,1.8941048034934498,3.8730488754872137,0.5846153846153845,1.0259365994236311,0.8146606503353999
129,The Second Sino-Japanese War of 1931–1933,1931,1931-09-18,1933-05-31,622,11,2,30290,6006,36150,7770,5.043290043290043,4.652509652509653,3.25,1.8253275109170306,3.8730488754872137,5.95,3.004366812227074,4.661204760772703,0.5462184873949579,0.6075581395348838,0.8309115506106121
1027,The Chaco War of 1932–1935,1931,1931-06-19,1935-06-04,1447,40,2,15792,9599,37528,27832,1.6451713720179186,1.3483759701063525,6.3999999999999995,2.640829694323144,4.806713001681099,4.15,2.9159388646288207,4.3148082360953754,1.5421686746987948,0.9056533133657807,1.1140038533974028
