County Name,Precinct Name,Precinct Code,Region Name,Media Market,Registered Voters,Ballots Counted,Official Voter Turnout
Ashland,PRECINCT TROY,ACQ,Northeast,Cleveland,792,329,41.54%
Ashland,PRECINCT VERMILLION 1,ACS,Northeast,Cleveland,853,380,44.55%
Ashland,PRECINCT VERMILLION 2,ACT,Northeast,Cleveland,"1,050",516,49.14%
Ashland,PRECINCT MIFFLIN,ACV,Northeast,Cleveland,880,404,45.91%
Ashtabula,PRECINCT ASHTABULA 1-A,AAA,Northeast,Cleveland,762,343,45.01%
Ashtabula,PRECINCT ASHTABULA 1-B,AAB,Northeast,Cleveland,588,298,50.68%
Ashtabula,PRECINCT ASHTABULA 1-C,AAC,Northeast,Cleveland,676,235,34.76%
Ashtabula,PRECINCT ASHTABULA 1-D,AAE,Northeast,Cleveland,489,158,32.31%
Ashtabula,PRECINCT ASHTABULA 2-A,AAH,Northeast,Cleveland,763,210,27.52%
Ashtabula,PRECINCT ASHTABULA 2-B,AAI,Northeast,Cleveland,661,215,32.53%
Ashtabula,PRECINCT ASHTABULA 2-C,AAJ,Northeast,Cleveland,367,139,37.87%
Ashtabula,PRECINCT ASHTABULA 2-D,AAM,Northeast,Cleveland,328,87,26.52%
Ashtabula,PRECINCT ASHTABULA 3-A,AAN,Northeast,Cleveland,284,27,9.51%
Ashtabula,PRECINCT ASHTABULA 3-B,AAO,Northeast,Cleveland,464,48,10.34%
Ashtabula,PRECINCT ASHTABULA 3-C,AAP,Northeast,Cleveland,369,73,19.78%
Ashtabula,PRECINCT ASHTABULA 3-D,AAQ,Northeast,Cleveland,479,68,14.20%
Ashtabula,PRECINCT ASHTABULA 4-A,AAR,Northeast,Cleveland,389,48,12.34%
Ashtabula,PRECINCT ASHTABULA 4-B,AAS,Northeast,Cleveland,464,69,14.87%
Ashtabula,PRECINCT ASHTABULA 4-C,AAT,Northeast,Cleveland,352,127,36.08%
Ashtabula,PRECINCT ASHTABULA 4-D,AAU,Northeast,Cleveland,864,231,26.74%
Ashtabula,PRECINCT ASHTABULA 5-A,AAW,Northeast,Cleveland,353,58,16.43%
Ashtabula,PRECINCT ASHTABULA 5-B,AAX,Northeast,Cleveland,321,65,20.25%
Ashtabula,PRECINCT ASHTABULA 5-C,AAY,Northeast,Cleveland,669,180,26.91%
Ashtabula,PRECINCT ASHTABULA 5-D,ABA,Northeast,Cleveland,445,85,19.10%
Ashtabula,PRECINCT CONNEAUT 1-A,ABB,Northeast,Cleveland,350,119,34.00%
Ashtabula,PRECINCT CONNEAUT 1-B,ABC,Northeast,Cleveland,333,115,34.53%
Ashtabula,PRECINCT CONNEAUT 1-C,ABD,Northeast,Cleveland,748,216,28.88%
Ashtabula,PRECINCT CONNEAUT 2-A,ABF,Northeast,Cleveland,682,253,37.10%
Ashtabula,PRECINCT CONNEAUT 2-B,ABG,Northeast,Cleveland,812,306,37.68%
Ashtabula,PRECINCT CONNEAUT 2-C,ABI,Northeast,Cleveland,620,278,44.84%
Ashtabula,PRECINCT CONNEAUT 3-A,ABJ,Northeast,Cleveland,338,155,45.86%
Ashtabula,PRECINCT CONNEAUT 3-B,ABK,Northeast,Cleveland,495,227,45.86%
Ashtabula,PRECINCT CONNEAUT 3-C,ABL,Northeast,Cleveland,391,195,49.87%
Ashtabula,PRECINCT CONNEAUT 3-D,ABM,Northeast,Cleveland,525,178,33.90%
Ashtabula,PRECINCT CONNEAUT 4-A,ABN,Northeast,Cleveland,398,86,21.61%
Ashtabula,PRECINCT CONNEAUT 4-B,ABO,Northeast,Cleveland,613,218,35.56%
Ashtabula,PRECINCT CONNEAUT 4-C,ABQ,Northeast,Cleveland,346,68,19.65%
Ashtabula,PRECINCT GENEVA 1,ABR,Northeast,Cleveland,462,196,42.42%
Ashtabula,PRECINCT GENEVA 2,ABS,Northeast,Cleveland,865,324,37.46%
Ashtabula,PRECINCT GENEVA 3,ABT,Northeast,Cleveland,478,162,33.89%
Ashtabula,PRECINCT GENEVA 4,ABV,Northeast,Cleveland,451,144,31.93%
Ashtabula,PRECINCT GENEVA 5,ABW,Northeast,Cleveland,400,114,28.50%
Ashtabula,PRECINCT GENEVA 6,ABX,Northeast,Cleveland,540,240,44.44%
Ashtabula,PRECINCT GENEVA 7,ABY,Northeast,Cleveland,477,270,56.60%
Ashtabula,PRECINCT ANDOVER TWP. 1,ABZ,Northeast,Cleveland,719,227,31.57%
Ashtabula,PRECINCT ANDOVER TWP. 2,ACA,Northeast,Cleveland,464,227,48.92%
Ashtabula,PRECINCT ANDOVER VILLAGE,ACB,Northeast,Cleveland,579,200,34.54%
Ashtabula,PRECINCT ASHTABULA TWP. 1,ACD,Northeast,Cleveland,557,159,28.55%
Ashtabula,PRECINCT ASHTABULA TWP. 2,ACG,Northeast,Cleveland,782,342,43.73%
Ashtabula,PRECINCT ASHTABULA TWP. 3,ACH,Northeast,Cleveland,391,92,23.53%
Ashtabula,PRECINCT ASHTABULA TWP. 4,ACI,Northeast,Cleveland,808,257,31.81%
Ashtabula,PRECINCT ASHTABULA TWP. 5,ACJ,Northeast,Cleveland,531,211,39.74%
Ashtabula,PRECINCT ASHTABULA TWP. 6,ACM,Northeast,Cleveland,477,162,33.96%
Ashtabula,PRECINCT AUSTINBURG TWP. 1,ACO,Northeast,Cleveland,850,434,51.06%
Ashtabula,PRECINCT AUSTINBURG TWP. 2,ACP,Northeast,Cleveland,785,373,47.52%
Ashtabula,PRECINCT CHERRY VALLEY,ACQ,Northeast,Cleveland,478,192,40.17%
Ashtabula,PRECINCT COLEBROOK TWP.,ACR,Northeast,Cleveland,503,226,44.93%
Ashtabula,PRECINCT DENMARK TWP.,ACS,Northeast,Cleveland,523,187,35.76%
Ashtabula,PRECINCT DORSET TWP.,ACT,Northeast,Cleveland,498,226,45.38%
Ashtabula,PRECINCT GENEVA TWP. 1,ACU,Northeast,Cleveland,"1,103",383,34.72%
Ashtabula,PRECINCT GENEVA TWP. 2,ACW,Northeast,Cleveland,540,228,42.22%
Ashtabula,PRECINCT GENEVA TWP. 3,ACX,Northeast,Cleveland,411,131,31.87%
Ashtabula,PRECINCT GEN ON LAKE VILL,ACY,Northeast,Cleveland,620,227,36.61%
Ashtabula,PRECINCT HARPERSFLD TWP 1,ADA,Northeast,Cleveland,592,302,51.01%
Ashtabula,PRECINCT HARPERSFLD TWP 2,ADB,Northeast,Cleveland,798,364,45.61%
Ashtabula,PRECINCT HARPERSFLD TWP 3,ADC,Northeast,Cleveland,613,263,42.90%
Ashtabula,PRECINCT HARTSGROVE TWP,ADD,Northeast,Cleveland,952,392,41.18%
Ashtabula,PRECINCT JEFFERSON TWP. 1,ADF,Northeast,Cleveland,504,177,35.12%
Ashtabula,PRECINCT JEFFERSON TWP. 2,ADG,Northeast,Cleveland,432,163,37.73%
