county_name,region_name,media_market,prop_aug_issue1_yes,total_aug_turnout,total_reg_voters,prop_nov_issue1_yes,prop_nov_issue2_yes,total_nov_votes,total_2020_reg_voters,total_2020_votes,prop_trump_votes,male_population,median_age,population,white_population,black_population,noncitizen,bach_degree,mast_degree,prof_degree,doct_degree,median_income,id
Putnam County,Northwest,Toledo,0.8175909878682842,11540,23456,0.17,0.31,14382,23859,20072,0.8176564368274213,17296,40.1,34395,32776,357,197,3820,1498,242,108,73122,39137
Richland County,Northeast,Cleveland,0.6045270816491511,30925,81651,0.42,0.5,39612,82754,60336,0.6873508353221957,63431,41.3,124504,111781,13585,715,10005,4103,910,483,52605,39139
Ross County,Central,Columbus,0.5399509487543566,15494,45473,0.48,0.53,21158,46037,33558,0.6638655462184874,40553,41.3,77205,71992,5693,371,5702,2853,483,187,54004,39141
Sandusky County,Northwest,Toledo,0.5639020249787802,16494,39532,0.45,0.52,20199,40470,30453,0.6204971595573506,29516,42.1,59013,55638,2840,427,4983,2221,231,83,56414,39143
Scioto County,Southeast,Charleston,0.612343656938654,13432,44250,0.37,0.47,17604,46120,32351,0.6988655682977343,36782,40.2,74392,71546,2760,270,4912,2976,372,227,43266,39145
Seneca County,Northwest,Toledo,0.6023957280992929,13858,34035,0.4,0.5,17644,34413,26068,0.6554396194568053,27771,40.5,55166,52181,2347,396,4408,1749,344,181,56043,39147
Shelby County,West,Dayton,0.7821958051513288,14637,32418,0.24,0.39,17384,32843,25449,0.8024676804589571,24400,39.7,48307,46472,1946,330,4069,1668,221,165,66536,39149
Stark County,Northeast,Cleveland,0.47133152867868633,97895,245322,0.53,0.52,126104,252972,191252,0.5808932717043482,183205,41.9,374712,340127,37127,3399,40107,16539,3100,2035,58170,39151
Summit County,Northeast,Cleveland,0.33783783783783783,153402,367984,0.65,0.6,190617,379673,283705,0.4400098694066019,263480,41,540567,436912,90513,12504,82270,34391,7639,5204,63111,39153
Trumbull County,Northeast,Youngstown,0.4278071675748777,50282,134300,0.57,0.53,63926,136895,101813,0.5421115181754785,98922,44.2,202199,183929,20227,586,18226,7346,1538,798,50258,39155
Tuscarawas County,Northeast,Cleveland,0.5649295774647888,21300,57949,0.46,0.43,28255,59638,44580,0.6832211754149843,46100,40.9,93025,91378,1947,836,7811,3201,622,176,57545,39157
Union County,Central,Columbus,0.5079357056207036,19784,44413,0.51,0.52,25610,41432,33705,0.6429016466399644,29881,38.4,61769,56574,2135,1483,10318,4124,835,518,96634,39159
Van Wert County,West,Ft. Wayne,0.7047580317202115,7377,19940,0.29,0.44,9579,20291,15077,0.7727001392850037,14263,41.3,28808,28144,584,98,1991,1148,92,74,59210,39161
Vinton County,Southeast,Charleston,0.6197896377093884,2567,8335,0.37,0.52,3377,8627,6105,0.7587223587223587,6497,43.4,12853,12750,107,56,837,276,21,51,46653,39163
Warren County,Southwest,Cincinnati,0.526594573771394,72684,171053,0.47,0.52,90488,167606,137187,0.6413727248208649,121453,39.6,239556,213368,10578,9536,43256,22164,3251,2937,95709,39165
Washington County,Southeast,Parkersburg,0.5812580579493791,14737,41912,0.41,0.47,19531,42774,32343,0.6897010172216553,29891,44.3,59942,58267,1309,412,5203,2306,699,301,54167,39167
Wayne County,Northeast,Cleveland,0.5844087437450619,30376,72415,0.42,0.44,36776,74470,54848,0.6701976371061844,58262,38.9,116858,112517,2731,1507,10943,5275,920,816,64594,39169
Williams County,Northwest,Toledo,0.6344799005387485,9652,24467,0.37,0.43,12013,25515,18963,0.7093814269894004,18452,41.2,37026,35746,745,336,2402,1056,133,171,55030,39171
Wood County,Northwest,Toledo,0.4344338083324269,36772,91533,0.55,0.55,46031,93149,68103,0.5250429496497951,65196,35.1,131930,124630,4974,2253,17824,8653,1718,1605,66337,39173
Wyandot County,Northwest,Toledo,0.6336316056052677,5923,14875,0.39,0.46,7669,15491,11486,0.7367229670903709,10928,42.3,21933,21657,201,190,1867,847,141,116,61626,39175
