county_name,precinct_name,precinct_code,region_name,media_market,registered_voters,ballots_counted,official_voter_turnout
Allen,LIMA 7C,ACG,West,Lima,989,317,32.0525783619818
Allen,AMANDA E,ACT,West,Lima,959,466,48.59228362877998
Allen,AMANDA N,ACU,West,Lima,485,235,48.45360824742268
Allen,AMERICAN A,ACW,West,Lima,745,349,46.84563758389262
Allen,AMERICAN B,ACX,West,Lima,687,243,35.37117903930131
Allen,AMERICAN C,ACY,West,Lima,666,247,37.087087087087085
Allen,AMERICAN D,ACZ,West,Lima,770,192,24.935064935064936
Allen,AMERICAN E,ADA,West,Lima,625,206,32.96
Allen,AMERICAN F,ADB,West,Lima,580,228,39.310344827586206
Allen,AMERICAN G,ADC,West,Lima,918,406,44.226579520697165
Allen,AMERICAN H,ADD,West,Lima,759,363,47.82608695652174
Allen,AMERICAN I,ADE,West,Lima,750,368,49.06666666666667
Allen,AMERICAN J,ADF,West,Lima,767,363,47.327249022164274
Allen,AMERICAN K,ADG,West,Lima,723,267,36.92946058091286
Allen,AMERICAN L,ADI,West,Lima,709,260,36.67136812411848
Allen,ELIDA A,ADQ,West,Lima,694,307,44.236311239193085
Allen,ELIDA B,ADR,West,Lima,666,329,49.3993993993994
Allen,AUGLAIZE A,ADT,West,Lima,688,292,42.44186046511628
Allen,HARROD,ADU,West,Lima,266,105,39.473684210526315
Allen,AUGLAIZE B,ADW,West,Lima,888,384,43.24324324324324
Allen,BATH A,ADY,West,Lima,667,287,43.02848575712144
Allen,BATH B,ADZ,West,Lima,732,362,49.45355191256831
Allen,BATH C,AEA,West,Lima,596,277,46.47651006711409
Allen,BATH D,AEB,West,Lima,749,271,36.18157543391188
Allen,BATH E,AEC,West,Lima,682,109,15.982404692082111
Allen,BATH F,AED,West,Lima,577,289,50.08665511265165
Allen,BATH G,AEE,West,Lima,784,292,37.244897959183675
Allen,BATH H,AEF,West,Lima,751,340,45.27296937416778
Allen,BATH I,AEG,West,Lima,653,159,24.34915773353752
Allen,JACKSON A,AEN,West,Lima,1004,468,46.613545816733065
Allen,LAFAYETTE,AEO,West,Lima,230,84,36.52173913043478
Allen,JACKSON B,AEQ,West,Lima,978,451,46.11451942740286
Allen,MARION A,AES,West,Lima,984,493,50.10162601626016
Allen,MARION B,AET,West,Lima,887,433,48.81623449830891
Allen,CAIRO,AEW,West,Lima,327,128,39.14373088685015
Allen,MONROE E,AEX,West,Lima,592,283,47.804054054054056
Allen,MONROE W,AEY,West,Lima,539,245,45.45454545454545
Allen,PERRY C,AEZ,West,Lima,802,339,42.26932668329177
Allen,PERRY A,AFB,West,Lima,740,252,34.054054054054056
Allen,PERRY B,AFC,West,Lima,631,170,26.94136291600634
Allen,BEAVERDAM,AFE,West,Lima,194,59,30.412371134020617
Allen,RICHLAND A,AFF,West,Lima,637,331,51.96232339089482
Allen,RICHLAND B,AFG,West,Lima,647,374,57.805255023183925
Allen,BLUFFTON A,AFI,West,Lima,898,475,52.89532293986637
Allen,BLUFFTON B,AFJ,West,Lima,777,386,49.67824967824968
Allen,BLUFFTON C,AFK,West,Lima,803,368,45.82814445828144
Allen,SHAWNEE A,AFN,West,Lima,702,337,48.00569800569801
Allen,SHAWNEE B,AFO,West,Lima,691,332,48.04630969609262
Allen,SHAWNEE C,AFP,West,Lima,612,188,30.718954248366014
Allen,SHAWNEE D,AFQ,West,Lima,837,409,48.86499402628435
Allen,SHAWNEE E,AFR,West,Lima,693,304,43.867243867243864
Allen,SHAWNEE F,AFS,West,Lima,800,384,48
Allen,SHAWNEE G,AFT,West,Lima,827,388,46.916565900846436
Allen,SHAWNEE H,AFU,West,Lima,730,311,42.602739726027394
Allen,SHAWNEE I,AFV,West,Lima,749,346,46.19492656875835
Allen,SHAWNEE J,AGB,West,Lima,888,366,41.21621621621622
Allen,SHAWNEE K,AGC,West,Lima,842,316,37.52969121140143
Allen,SHAWNEE L,AGD,West,Lima,764,265,34.68586387434555
Allen,SPENCER A,AGI,West,Lima,606,258,42.57425742574257
Allen,SPENCERVILLE A,AGK,West,Lima,631,219,34.7068145800317
Allen,SPENCERVILLE B,AGL,West,Lima,596,211,35.40268456375839
Allen,SUGAR CREEK,AGN,West,Lima,800,402,50.25
Ashland,PRECINCT ASHLAND CITY 1-A,AAA,Northeast,Cleveland,903,457,50.60908084163898
Ashland,PRECINCT ASHLAND CITY 1-B,AAB,Northeast,Cleveland,1099,450,40.94631483166515
Ashland,PRECINCT ASHLAND CITY 1-C,AAD,Northeast,Cleveland,1100,512,46.54545454545455
Ashland,PRECINCT ASHLAND CITY 1-D,AAF,Northeast,Cleveland,679,380,55.96465390279823
Ashland,PRECINCT ASHLAND CITY 2-A,AAG,Northeast,Cleveland,922,382,41.431670281995665
Ashland,PRECINCT ASHLAND CITY 2-B,AAH,Northeast,Cleveland,1112,418,37.589928057553955
Ashland,PRECINCT ASHLAND CITY 2-C,AAJ,Northeast,Cleveland,918,444,48.366013071895424
