"","What is your present religion, if any?","...2","Do you consider yourself to be an evangelical?","Do you attend religious services","How often do you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How often do you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How often do you: Pray aloud before meals in the presence of people who don't belong to your religion","How often do you: Tell someone you'll pray for him or her","How often do you: Ask or offer to pray with someone","How often do you: Bring up your religion, unprompted, in conversation","How often do you: Ask others about their religion, unprompted, in conversation","How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable do you feel when you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable do you feel when you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How comfortable do you feel when you: Pray aloud before meals in the presence of people who don't belong to your religion","How comfortable do you feel when you: Tell someone you'll pray for him or her","How comfortable do you feel when you: Ask or offer to pray with someone","How comfortable do you feel when you: Bring up your religion, unprompted, in conversation","How comfortable do you feel when you: Ask others about their religion, unprompted, in conversation","How comfortable do you feel when you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable do you feel when you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable do you feel when you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray aloud before meals in the presence of people who don't belong to your religion","How comfortable do you think someone outside your religion would be if they saw you: Tell someone you'll pray for him or her","How comfortable do you think someone outside your religion would be if they saw you: Ask or offer to pray with someone","How comfortable do you think someone outside your religion would be if they saw you: Bring up your religion, unprompted, in conversation","How comfortable do you think someone outside your religion would be if they saw you: Ask others about their religion, unprompted, in conversation","How comfortable do you think someone outside your religion would be if they saw you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable do you think someone outside your religion would be if they saw you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable do you think someone outside your religion would be if they saw you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray aloud before meals in the presence of people who don't belong to that religion","How comfortable would you be seeing someone who practices a different religion from you: Tell someone ""I'll pray for you""","How comfortable would you be seeing someone who practices a different religion from you: Ask or offer to pray with you","How comfortable would you be seeing someone who practices a different religion from you: Bring up his or her own religion, unprompted, in conversation","How comfortable would you be seeing someone who practices a different religion from you: Ask you about your religion, unprompted, in conversation","How comfortable would you be seeing someone who practices a different religion from you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable would you be seeing someone who practices a different religion from you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable would you be seeing someone who practices a different religion from you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","What is your age?","What is your gender?","How much total combined money did all members of your HOUSEHOLD earn last year?","US Region"
"883","Roman Catholic",NA,"No","Less than weekly","A few times per month","Once a year or less","A few times per month","A few times per week","A few times per month","Never","Never","Once a month or less","Never","Once a year or less","Extremely comfortable","Somewhat comfortably","Extremely comfortable","Extremely comfortable","Extremely comfortable","I don't do this","I don't do this","Extremely comfortable","I don't do this","Extremely comfortable","Somewhat comfortably","I don't do this","Somewhat comfortably","Very comfortable","Very comfortable","I don't do this","I don't do this","Very comfortable","I don't do this","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Somewhat comfortably","Extremely comfortable","Extremely comfortable","Extremely comfortable","60+","Male","$200,000 and up","Middle Atlantic"
"884","Agnostic",NA,"No","Less than weekly","Never","Never","Once a month or less","Once a month or less","Never","Once a month or less","Never","Never","Never","Never","I don't do this","I don't do this","Not so comfortable","Not so comfortable","I don't do this","Very comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Not so comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","30 - 44","Female","$50,000 to $74,999","South Atlantic"
"885","Atheist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat comfortably","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Extremely comfortable","Extremely comfortable","Very comfortable","18 - 29","Male","$10,000 to $24,999","South Atlantic"
"886","None of these","Spiritist","No","Weekly or more","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Never","A few times per week","Never","Never","Never","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","I don't do this","I don't do this","I don't do this","Very comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Very comfortable","Somewhat comfortably","Not so comfortable","Not so comfortable","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","Very comfortable","Very comfortable","Extremely comfortable","Very comfortable","30 - 44","Female","$100,000 to $124,999","East North Central"
"887","Roman Catholic",NA,"No","Never","Never","Never","Never","Never","Never","Once a year or less","Never","Never","Never","Never","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","45 - 59","Male","$125,000 to $149,999","New England"
"888","None of these","undesided","No","Never","Once a year or less","Never","Once a year or less","Once a year or less","Never","Once a month or less","Once a month or less","Never","Never","Never","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Not so comfortable","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Not so comfortable","Not at all comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","18 - 29","Female","$25,000 to $49,999","East North Central"
"889","Agnostic",NA,"No","Never","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","30 - 44","Male","$75,000 to $99,999","West South Central"
"890","Orthodox Christian",NA,"No","Weekly or more","Once a year or less","Once a year or less","A few times per week","A few times per month","Never","Never","Never","A few times per week","Never","Never","Somewhat comfortably","Somewhat comfortably","Not at all comfortable","Very comfortable","Not so comfortable","Not so comfortable","Not at all comfortable","Extremely comfortable","I don't do this","Not at all comfortable","Very comfortable","Very comfortable","Not so comfortable","Very comfortable","Somewhat comfortably","Not at all comfortable","I don't do this","Extremely comfortable","Extremely comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","Not so comfortable","Extremely comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","18 - 29","Female","$25,000 to $49,999","Middle Atlantic"
"891","Protestant",NA,"No","Less than weekly","A few times per month",NA,"Never","A few times per month","Once a month or less","Once a month or less","Once a month or less","Never","Never","Never","Somewhat comfortably","I don't do this","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","45 - 59","Male","$200,000 and up","Mountain"
"892","Protestant",NA,"Yes","Less than weekly","A few times per month","Never","Once a month or less","Once a month or less","Never","Once a month or less","Once a year or less","Never","Never","Never","Somewhat comfortably","I don't do this","Somewhat comfortably","Very comfortable","I don't do this","Very comfortable","Very comfortable","I don't do this",NA,"I don't do this","Somewhat comfortably","I don't do this","Somewhat comfortably","Very comfortable","I don't do this","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable",NA,"Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","45 - 59","Male","$200,000 and up","Mountain"
"893","Protestant",NA,"No","Weekly or more","A few times per week","Never","Once a month or less","A few times per month","Once a month or less","A few times per month","Never","Never","Never","Once a year or less","Not so comfortable","Not at all comfortable","Somewhat comfortably","Very comfortable","Somewhat comfortably","Not at all comfortable","Not at all comfortable",NA,"Not at all comfortable","Somewhat comfortably","Not so comfortable",NA,"Not so comfortable","Somewhat comfortably","Somewhat comfortably","Not at all comfortable","Not so comfortable","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","60+","Female","$50,000 to $74,999","East South Central"
"894","Protestant",NA,"No","Less than weekly","Never","Never","Never","Once a month or less","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not at all comfortable","Not at all comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","60+","Female","$50,000 to $74,999","West South Central"
"895","Protestant",NA,"Yes","Weekly or more","A few times per week","A few times per month","A few times per week","Every day","Every day","Every day","Never","A few times per week","Every day","Once a month or less","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Very comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Extremely comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","18 - 29","Female","$25,000 to $49,999","West South Central"
"896","Roman Catholic",NA,"No","Weekly or more","Never","Never","Never","Once a month or less","Never","Never","Never","Never","Every day","Never","Somewhat comfortably","I don't do this","I don't do this","Extremely comfortable","I don't do this","I don't do this","I don't do this","I don't do this","Extremely comfortable","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Somewhat comfortably","Somewhat comfortably","I don't do this","Somewhat comfortably","Very comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","60+","Male","$200,000 and up","East North Central"
"897","Roman Catholic",NA,"No","Weekly or more","Once a month or less","Never","Once a year or less","Once a month or less","Never","Once a year or less","Never","Once a year or less","Once a year or less","Once a year or less","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Not so comfortable","Not at all comfortable","Not so comfortable","Not at all comfortable","Somewhat comfortably","I don't do this","Somewhat comfortably","Very comfortable","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Not so comfortable","Not at all comfortable","Not at all comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Somewhat comfortably","Not so comfortable","Not so comfortable","Somewhat comfortably","Very comfortable","Somewhat comfortably","Somewhat comfortably","18 - 29","Female","$50,000 to $74,999","West South Central"
"898","Roman Catholic",NA,"No","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Not so comfortable","Not so comfortable","Not at all comfortable","Very comfortable","Not at all comfortable","Not so comfortable","Not at all comfortable","Somewhat comfortably","Not so comfortable","Not so comfortable","30 - 44","Male","$25,000 to $49,999","Middle Atlantic"
"899","Protestant",NA,"No","Weekly or more","A few times per month","Never","Once a month or less","Once a year or less","Once a year or less","Never","Never","Never","Never","Never","Extremely comfortable","I don't do this","Extremely comfortable","Extremely comfortable","Very comfortable","Very comfortable","I don't do this","I don't do this","I don't do this","Extremely comfortable","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","60+","Male","$75,000 to $99,999","South Atlantic"
"900","Roman Catholic",NA,"No","Less than weekly","A few times per month","A few times per month","Never","A few times per month","A few times per month","Once a month or less","Once a month or less","Never","Never","Never","Extremely comfortable","Extremely comfortable","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","I don't do this","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","I don't do this","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","45 - 59","Female","Prefer not to answer","Middle Atlantic"
"901","Agnostic",NA,"No","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not at all comfortable","Not so comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","60+","Male","$25,000 to $49,999","South Atlantic"
"902","Atheist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not at all comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","60+","Male","Prefer not to answer","South Atlantic"
"903","None of these","Lutheran","Yes","Less than weekly","Never","Never","Never","A few times per month","A few times per month","Once a year or less","Once a year or less","Never","Once a year or less","Once a year or less","Not so comfortable","Not at all comfortable","Not so comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","I don't do this","Somewhat comfortably","Somewhat comfortably","Not so comfortable","I don't do this","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Somewhat comfortably","45 - 59","Female","$75,000 to $99,999","Middle Atlantic"
"904","None of these","None","No","Never","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Once a month or less","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","30 - 44","Female","$100,000 to $124,999","East North Central"
"905","Protestant",NA,"No","Weekly or more","Every day","Not applicable to my religious beliefs","Every day","A few times per month","Once a month or less","A few times per week","A few times per month","Never","Not applicable to my religious beliefs","Once a year or less","Very comfortable","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","Very comfortable","Very comfortable","Very comfortable","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","60+","Female","Prefer not to answer","South Atlantic"
"906","Roman Catholic",NA,"Yes","Never","Every day","Every day","A few times per week","Every day","Every day","Every day","Every day","Not applicable to my religious beliefs","Never","Once a year or less","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Not so comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Somewhat comfortably","Extremely comfortable","Extremely comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","Very comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","Not so comfortable","Very comfortable","18 - 29","Female","$0 to $9,999",NA
"907","Agnostic",NA,"No","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this",NA,"Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","30 - 44","Male","$50,000 to $74,999","West North Central"
"908","Atheist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Very comfortable","Somewhat comfortably","Not so comfortable","Not at all comfortable","Not so comfortable","18 - 29","Male","$25,000 to $49,999","East North Central"
"909","None of these","Spiritual and Chritianity","Yes","Less than weekly","Never","Once a year or less","Never","Never","Never","Never","Never","Never","A few times per month","Never","Not so comfortable","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","Very comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","30 - 44","Male","$0 to $9,999","West North Central"
"910","Orthodox Christian",NA,"No","Less than weekly","Once a month or less","Once a year or less","Once a year or less","A few times per week","Once a year or less","Once a month or less","Once a year or less","Never","Never","Never","Somewhat comfortably","Somewhat comfortably","Very comfortable","Extremely comfortable","Somewhat comfortably","Very comfortable","Very comfortable","I don't do this","I don't do this","I don't do this","Not so comfortable","Not so comfortable","Not so comfortable","Very comfortable","Not so comfortable","Not so comfortable","Not so comfortable","I don't do this","I don't do this","I don't do this","Not at all comfortable","Not at all comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Not so comfortable","Not so comfortable","30 - 44","Male","$25,000 to $49,999","New England"
"911","Atheist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very comfortable","Very comfortable","Somewhat comfortably","Not so comfortable","Not at all comfortable","Somewhat comfortably","Not so comfortable","Very comfortable","Very comfortable","Very comfortable","30 - 44","Male","$75,000 to $99,999","West North Central"
"912","Roman Catholic",NA,"No","Weekly or more","Every day","A few times per month","Never","A few times per week","Every day","Never","Never","Never","Every day","Never","Somewhat comfortably","Somewhat comfortably","Not at all comfortable","Very comfortable","Very comfortable","Not at all comfortable","I don't do this","I don't do this","Very comfortable","I don't do this","Not so comfortable","Not so comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Not at all comfortable","Not at all comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Very comfortable","60+","Female","$50,000 to $74,999","New England"
"913","None of these","wicon","No","Less than weekly","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Once a month or less","Never","Never","Never","Not applicable to my religious beliefs","Never","Never","I don't do this","I don't do this","I don't do this","Extremely comfortable","Very comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","45 - 59","Male","$25,000 to $49,999","East North Central"
"914","Protestant",NA,"No","Never","Never","Never","Never","Once a year or less","Never","Never","Never","Never","Never","Never","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Not at all comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","45 - 59","Female","$200,000 and up","New England"
"915","Protestant",NA,"No","Never","Never","Never","Once a year or less","Once a year or less","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","Very comfortable","I don't do this","I don't do this","I don't do this",NA,"I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Not so comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Somewhat comfortably","Not at all comfortable","Not at all comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","60+","Male","Prefer not to answer","South Atlantic"
"916","Atheist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very comfortable","Very comfortable","Not so comfortable","Somewhat comfortably","Not at all comfortable","Not so comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","18 - 29","Female","$75,000 to $99,999","South Atlantic"
"917","Agnostic",NA,"No","Never","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Never","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Not so comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Not at all comfortable","Somewhat comfortably","Somewhat comfortably","Extremely comfortable","Extremely comfortable","Very comfortable","18 - 29","Female","$200,000 and up","Middle Atlantic"
"918","Protestant",NA,"No","Less than weekly","Never","Never","Once a year or less","A few times per month","A few times per month","A few times per month","Never","Never","Never","Never","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Not so comfortable","Somewhat comfortably","45 - 59","Female","$50,000 to $74,999","West South Central"
"919","Protestant",NA,"No","Weekly or more","Once a year or less","Never","Never","A few times per month","Once a month or less","Once a month or less","Once a month or less","Never","Never","Never","Very comfortable","I don't do this","Very comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","Very comfortable","I don't do this","I don't do this","I don't do this","Very comfortable","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","45 - 59","Female","Prefer not to answer","South Atlantic"
"920","Protestant",NA,"Yes","Weekly or more","Once a month or less","Never","Never","Every day","A few times per month","Once a month or less","Once a month or less","Not applicable to my religious beliefs","A few times per month","Never","Somewhat comfortably","Extremely comfortable","Not so comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably",NA,"Somewhat comfortably","I don't do this","Not so comfortable",NA,"I don't do this","Somewhat comfortably","Not so comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Somewhat comfortably",NA,"Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably",NA,"Very comfortable","Somewhat comfortably","30 - 44","Female","Prefer not to answer","East South Central"
